company,sector,year,revenue_musd,scope1_emissions_tco2e,scope2_emissions_tco2e,esg_score,environment_score,social_score,governance_score,renewable_energy_pct,green_capex_pct,board_independence_pct,women_board_pct,safety_incidents,controversy_count
Aurora Semiconductors,Technology,2021,3200,210,120,72,70,74,71,42,8,68,24,1,1
Aurora Semiconductors,Technology,2022,3450,205,115,74,72,75,73,46,9,69,26,1,1
Aurora Semiconductors,Technology,2023,3680,195,105,77,76,78,77,52,10,70,28,1,0
Aurora Semiconductors,Technology,2024,3950,188,98,79,79,80,78,56,12,72,29,0,0
Aurora Semiconductors,Technology,2025,4200,180,90,81,82,81,80,60,14,74,31,0,0
BlueWave Shipping,Industrials,2021,1900,820,220,58,50,60,61,18,5,55,18,6,3
BlueWave Shipping,Industrials,2022,1980,805,215,59,52,60,62,20,6,56,19,5,3
BlueWave Shipping,Industrials,2023,2050,790,205,61,55,62,63,,7,57,19,5,2
BlueWave Shipping,Industrials,2024,2170,775,198,63,58,64,65,24,8,59,20,4,2
BlueWave Shipping,Industrials,2025,2300,760,190,65,61,66,66,28,10,61,21,4,1
Evergreen Utilities,Utilities,2021,2500,950,260,60,54,62,64,25,12,60,22,4,2
Evergreen Utilities,Utilities,2022,2580,910,240,63,58,64,67,28,14,,23,4,2
Evergreen Utilities,Utilities,2023,2680,870,225,66,63,66,69,34,16,64,24,3,1
Evergreen Utilities,Utilities,2024,2790,820,205,69,67,69,72,39,18,66,26,2,1
Evergreen Utilities,Utilities,2025,2900,780,190,72,72,71,74,45,20,68,28,2,1
Harbor Cement,Materials,2021,2200,1300,320,48,35,52,45,8,3,42,11,9,5
Harbor Cement,Materials,2022,2280,1290,318,49,36,53,46,9,4,42,11,9,5
Harbor Cement,Materials,2023,2360,1285,315,50,38,53,47,10,4,43,12,8,5
Harbor Cement,Materials,2023,2360,1275,310,50,39,53,47,11,5,44,13,8,4
Harbor Cement,Materials,2024,2460,1260,305,51,40,54,48,12,5,44,13,8,4
Harbor Cement,Materials,2025,2600,1240,300,53,42,55,49,14,6,45,14,7,4
Metro Bank Holdings,Financials,2021,1800,60,45,74,68,76,78,48,4,72,30,1,1
Metro Bank Holdings,Financials,2022,1930,58,42,76,70,77,80,52,5,74,31,1,1
Metro Bank Holdings,Financials,2023,2070,55,38,79,73,80,82,56,6,76,33,1,0
Metro Bank Holdings,Financials,2024,2240,50,34,82,77,83,85,60,8,78,35,0,0
Metro Bank Holdings,Financials,2025,2400,45,30,84,80,85,88,65,9,80,36,0,0
Sunrise Electronics,Technology,2021,2100,260,140,68,64,69,70,35,7,64,22,2,1
Sunrise Electronics,Technology,2022,2240,250,132,70,66,71,71,40,8,66,23,2,1
Sunrise Electronics,Technology,2023,2390,235,120,72,69,73,73,44,9,68,24,2,1
Sunrise Electronics,Technology,2024,2580,218,105,75,73,76,76,49,,70,26,1,0
Sunrise Electronics,Technology,2025,2800,200,90,78,77,79,79,55,13,72,28,1,0
